family_id,manufacturer_id,family_name,family_type
1,1,WH,Headphone
2,1,MDR,Headphone
3,1,ULT,Headphone
4,2,HD,Headphone
5,2,Momentum,Headphone
6,2,HDB,Headphone
7,2,Accentum,Headphone
8,3,Fidelio,Headphone
9,3,SHP,Headphone
10,4,M-Series,Studio
11,4,R-Series,Studio
12,4,A-Series,Headphone
13,4,W-Series,Headphone
14,4,MSR,Headphone
15,5,K-Series,Headphone
16,5,N-Series,Headphone
17,6,DT,Studio
18,6,T-Series,Headphone
19,6,Amiron,Headphone
20,6,MMX,Gaming
21,7,QuietComfort,Headphone
22,7,700,Headphone
23,8,LCD,Headphone
24,8,MM,Studio
25,8,Maxwell,Gaming
26,8,CRBN,Headphone
27,9,HE,Headphone
28,9,Edition,Headphone
29,9,Ananda,Headphone
30,9,Arya,Headphone
31,9,Susvara,Headphone
32,9,Sundara,Headphone
33,9,Deva,Headphone
34,10,Utopia,Headphone
35,10,Clear,Headphone
36,10,Elegia,Headphone
37,10,Bathys,Headphone
38,10,Listen,Headphone
39,11,P-Series,Headphone
40,11,PX,Headphone
41,12,Prestige,Headphone
42,12,Reference,Headphone
43,12,Statement,Headphone
44,12,GW,Headphone
45,13,Classics,Headphone
46,13,Flagship,Headphone
47,14,Aeon,Headphone
48,14,Ether,Headphone
49,14,Flagship,Headphone
50,15,AirPods Max,Headphone
51,16,Studio,Headphone
52,16,Solo,Headphone
53,17,SRH,Studio
54,17,AONIC,Headphone
55,18,Arctis Nova,Gaming
56,18,Arctis,Gaming
57,19,Cloud,Gaming
58,20,BlackShark,Gaming
59,20,Kraken,Gaming
60,21,G Pro,Gaming
61,21,G,Gaming
62,22,A-Series,Gaming
63,23,Stealth,Gaming
64,24,Virtuoso,Gaming
65,24,HS,Gaming
66,25,Delta,Gaming
67,26,AB-1266,Headphone
68,26,Diana,Headphone
69,27,Verite,Headphone
70,27,Auteur,Headphone
71,27,Atrium,Headphone
72,27,Caldera,Headphone
73,28,SR,Headphone
74,29,D-Series,Headphone
75,30,TH,Headphone
76,31,AH-D,Headphone
77,32,RAD,Headphone
78,33,Flagship,Headphone
79,34,Edition,Headphone
80,35,Beoplay,Headphone
81,36,Ace,Headphone
82,37,Monitor,Headphone
83,38,Tour,Headphone
84,38,Live,Headphone
85,39,Crusher,Headphone
86,40,Space,Headphone
87,41,EAH,Headphone
88,42,Headphone,Headphone
89,2,HD 500-series,Headphone
90,2,PXC,Headphone
91,1,MDR Studio,Studio
92,1,ZX,Headphone
93,1,XB,Headphone
94,1,CH,Headphone
95,4,ART Monitor,Headphone
96,4,SR/BT,Headphone
97,5,K-Studio,Studio
98,6,Custom,Headphone
99,7,AE/SoundLink,Headphone
100,7,QuietComfort On-Ear,Headphone
101,10,Spirit,Studio
102,12,Statement-PS,Headphone
103,20,Barracuda,Gaming
104,21,Astro,Gaming
105,35,Beoplay Portal,Gaming
106,38,Quantum,Gaming
107,16,Pro,Headphone
108,16,Executive,Headphone
109,38,Everest,Headphone
110,38,Tune,Headphone
111,39,Hesh,Headphone
112,1,h.ear,Headphone
113,37,Major,Headphone
114,2,HD Classic,Headphone
115,2,HD 200-series,Studio
116,1,Qualia/SA,Headphone
117,5,K-Reference,Headphone
118,4,ESW/ES,Headphone
119,12,Vintage,Headphone
120,7,TriPort/QC Legacy,Headphone
121,6,DT Classic,Headphone
122,17,SRH-DJ,Studio
123,27,Eikon,Headphone
124,27,Atticus,Headphone
125,27,Bokeh,Headphone
126,28,Lambda,Headphone
127,29,Sonorous,Headphone
128,1,MA,Headphone
129,26,Diana TC,Headphone
130,43,Porta Pro,Headphone
131,43,KSC,Headphone
